iso3,Country,year,pop,rgdpo,rnna,avg_savings_rate,avg_labsh,avg_delta,avg_pop_growth,per_capita_capital
JPN,Japan,1996,125.975302,5384901.5,22544372,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,178958.66604074504
JPN,Japan,1997,126.265929,5387732.0,23267166,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,184271.13461462752
JPN,Japan,1998,126.549181,5298995.5,23885494,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,188744.75370962694
JPN,Japan,1999,126.801564,5279276.0,24457658,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,192881.35909743197
JPN,Japan,2000,127.027789,5425812.5,25005568,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,196851.1630159917
JPN,Japan,2001,127.260148,5389144.5,25493442,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,200325.41530597623
JPN,Japan,2002,127.484598,5400705.5,25875438,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,202969.1304356625
JPN,Japan,2003,127.671251,5479776.5,26226804,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,205424.50860765827
JPN,Japan,2004,127.815774,5612612.0,26562598,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,207819.40419967257
JPN,Japan,2005,127.91333,5747211.0,26921680,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,210468.1349473116
JPN,Japan,2006,127.997247,5809891.0,27265270,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,213014.50335099784
JPN,Japan,2007,128.087682,5911259.5,27554710,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,215123.80870472774
JPN,Japan,2008,128.15599,5801057.5,27765272,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,216652.15960642963
JPN,Japan,2009,128.19247,5478416.5,27817134,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,216995.06999124054
JPN,Japan,2010,128.185275,5740071.0,27857126,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,217319.2357702552
JPN,Japan,2011,128.096432,5674082.0,27924010,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,217992.09832792223
JPN,Japan,2012,127.928285,5668170.5,28024686,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,219065.59600951424
JPN,Japan,2013,127.723645,5675222.5,28176042,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,220601.61217603835
JPN,Japan,2014,127.486605,5580816.0,28352516,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,222396.03917603736
JPN,Japan,2015,127.275872,5744858.0,28550418,29.769919410416662,0.5779211533958334,0.037779132,0.0017659720785368471,224319.1702509019
